Type,SS Name,X,Y
PMU,PMU Beaufort,5.364630573,115.7391643
PMU,PMU Kimanis,5.653925536,115.89198
PMU,PMU Lansat,5.660416897,115.9091462
PMU,PMU UMS,6.040754259,116.1305968
PMU,PMU Alamesra,6.029658113,116.1366907
PMU,PMU Tanjung Lipat,5.99360357,116.0970837
PMU,PMU Jesselton,5.990914676,116.0805613
PMU,PMU Karamunsing,5.970384749,116.0694462
PMU,PMU Kepayan,5.952146602,116.0615366
PMU,PMU MININTOD,5.9598867,116.1311563
PMU,PMU Kolopis,5.929752479,116.1345937
PMU,PMU PENAMPANG,5.92989351,116.09265
PMU,PMU Nabawan,5.199262735,116.4456571
PMU,PMU Keningau,5.445389183,116.176492
PMU,PMU Northern Town,5.996066958,116.079675
PMU,PMU Kolombong,5.985140626,116.1129773
PMU,PMU INANAM,5.994701179,116.1325467
PMU,PMU Unggun,6.084883,116.1325456
PMU,PMU Kayu Madang (Sepanggar Bay),6.094778382,116.165931
PMU,PMU Dunggun,6.174655836,116.220176
PMU,PMU Kota Belud,6.339151608,116.3976738
PMU,PMU Menggaris,6.559606813,116.7005268
PMU,PMU Kudat,6.926466102,116.8131366
PMU,PMU Sandakan,5.890242402,118.0000305
PMU,PMU ELOPURA,5.879997005,118.0961609
PMU,PMU SEGUNTOR,5.831499567,118.0178833
PMU,PMU Mowtas,5.808957076,118.0323029
PMU,PMU Bukit Nenas(Proposed),5.827401,118.0652618
PMU,PMU Dam Road,5.069322897,118.3145135
PMU,PMU Lahad Datu,5.05017174,118.3460992
PMU,PMU Semporna,4.509610383,118.557586
PPU,PPU Limbawang,5.409110347,115.6996213
PPU,PPU Pegalan,5.332543686,116.1720334
PPU,PPU ENEO,5.292331599,115.2393722
PPU,PPU Sembulan,5.976808437,116.0665441
PPU,PPU KOTA MARUDU,6.564029069,116.7562445
PPU,PPU Permai,5.819274106,118.0416449
