Type,SS Name,X,Y,
PMU,PMU Beaufort,5.364630573,115.7391643,"5°21'18.3""N 115°44'28.5""E"
PMU,PMU Kimanis,5.653925536,115.89198,"5°38'58.2""N 115°53'32.9""E"
PMU,PMU Lansat,5.660416897,115.9091462,"5°39'25.4""N 115°54'27.8""E"
PMU,PMU UMS,6.040754259,116.1305968,"6°02'21.7""N 116°07'50.9""E"
PMU,PMU Alamesra,6.029658113,116.1366907,"6°01'42.9""N 116°08'11.6""E"
PMU,PMU Tanjung Lipat,5.99360357,116.0970837,"5°59'30.2""N 116°05'48.0""E"
PMU,PMU Jesselton,5.990914676,116.0805613,"5°59'24.3""N 116°04'50.6""E"
PMU,PMU Karamunsing,5.970384749,116.0694462,"5°58'09.3""N 116°04'10.3""E"
PMU,PMU Kepayan,5.952146602,116.0615366,"5°57'05.4""N 116°03'41.1""E"
PMU,PMU MININTOD,5.9598867,116.1311563,"5°57'24.7""N 116°07'54.7""E"
PMU,PMU Kolopis,5.929752479,116.1345937,"5°55'43.7""N 116°08'03.7""E"
PMU,PMU PENAMPANG,5.92989351,116.09265,"5°55'39.2""N 116°05'33.2""E"
PMU,PMU Nabawan,5.199262735,116.4456571,"5°02'47.7""N 116°25'43.7""E"
PMU,PMU Keningau,5.445389183,116.176492,"5°20'10.0""N 116°10'02.3""E"
PMU,PMU Northern Town,5.996066958,116.079675,"5°59'23.0""N 116°04'48.7""E"
PMU,PMU Kolombong,5.985140626,116.1129773,"5°58'50.8""N 116°06'46.1""E"
PMU,PMU INANAM,5.994701179,116.1325467,"5°59'10.1""N 116°07'57.1""E"
PMU,PMU Unggun,6.084883,116.1325456,"6°04'58.5""N 116°07'56.9""E"
PMU,PMU Kayu Madang (Sepanggar Bay),6.094778382,116.165931,"6°05'24.4""N 116°09'54.0""E"
PMU,PMU Dunggun,6.174655836,116.220176,"6°10'04.2""N 116°13'07.6""E"
PMU,PMU Kota Belud,6.339151608,116.3976738,"6°20'01.0""N 116°23'47.5""E"
PMU,PMU Menggaris,6.559606813,116.7005268,"6°32'11.6""N 116°42'07.3""E"
PMU,PMU Kudat,6.926466102,116.8131366,"6°54'05.6""N 116°48'50.9""E"
PMU,PMU Sandakan,5.890242402,118.0000305,"5°52'45.5""N 118°00'09.9""E"
PMU,PMU ELOPURA,5.879997005,118.0961609,"5°52'13.1""N 118°05'40.5""E"
PMU,PMU SEGUNTOR,5.831499567,118.0178833,"5°49'06.7""N 118°01'15.3""E"
PMU,PMU Mowtas,5.808957076,118.0323029,"5°47'47.3""N 118°01'51.2""E"
PMU,PMU Bukit Nenas(Proposed),5.827401,118.0652618,"5°48'58.2""N 118°03'52.6""E"
PMU,PMU Dam Road,5.069322897,118.3145135,"5°03'24.2""N 118°19'06.8""E"
PMU,PMU Lahad Datu,5.05017174,118.3460992,"5°01'34.5""N 118°20'29.8""E"
PMU,PMU Semporna,4.509610383,118.557586,"4°28'20.2""N 118°33'35.3""E"
PPU,PPU Limbawang,5.409110347,115.6996213,"5°22'51.4""N 115°42'02.3""E"
PPU,PPU Pegalan,5.332543686,116.1720334,"5°18'45.9""N 116°09'47.3""E"
PPU,PPU ENEO,5.292331599,115.2393722,"5°14'54.9""N 115°14'26.7""E"
PPU,PPU Sembulan,5.976808437,116.0665441,"5°58'13.2""N 116°04'00.8""E"
PPU,PPU KOTA MARUDU,6.564029069,116.7562445,"6°29'45.0""N 116°45'39.5""E"
PPU,PPU Permai,5.819274106,118.0416449,"5°48'03.6""N 118°02'21.6""E"
